ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,-3.03983688354492E-02
1,0.35,1.99997993186116E-02,-3.21865081787109E-02
1,0.47,3.99995986372232E-02,-3.33786010742188E-02
1,0.58,5.99993979558349E-02,-3.03983688354492E-02
1,0.7,7.99991972744465E-02,-3.21865081787109E-02
1,0.82,9.99989965930581E-02,-2.74181365966797E-02
1,0.94,0.11999879591167,-2.32458114624023E-02
1,1.06,0.139998595230281,-2.38418579101563E-02
1,1.17,0.159998394548893,-2.20537185668945E-02
1,1.29,0.179998193867505,-0.031590461730957
1,1.41,0.199997993186116,-2.02655792236328E-02
1,1.53,0.219997792504728,-2.38418579101563E-02
1,1.65,0.239997591823339,-2.62260437011719E-02
1,1.76,0.259997391141951,-1.31130218505859E-02
1,1.88,0.279997190460563,-2.26497650146484E-02
1,2,0.299996989779174,-1.96695327758789E-02
1,2.12,0.319996789097786,-2.20537185668945E-02
1,2.24,0.339996588416398,-2.14576721191406E-02
1,2.35,0.359996387735009,-2.38418579101563E-02
1,2.47,0.379996187053621,-2.38418579101563E-02
1,2.59,0.399995986372232,-0.019073486328125
1,2.71,0.419995785690844,-1.43051147460938E-02
1,2.83,0.439995585009456,-1.43051147460938E-02
1,2.94,0.459995384328067,-1.07288360595703E-02
1,3.06,0.479995183646679,-1.84774398803711E-02
1,3.18,0.499994982965291,-1.84774398803711E-02
1,3.29,0.519994782283902,-8.94069671630859E-03
1,3.41,0.539994581602514,-1.49011611938477E-02
1,3.53,0.559994380921125,-1.37090682983398E-02
1,3.65,0.579994180239737,-1.43051147460938E-02
1,3.77,0.599993979558349,-1.54972076416016E-02
1,3.88,0.61999377887696,-1.13248825073242E-02
1,4,0.639993578195572,-0.019073486328125
1,4.12,0.659993377514184,-1.07288360595703E-02
1,4.24,0.679993176832795,-1.01327896118164E-02
1,4.36,0.699992976151407,-1.19209289550781E-02
1,4.47,0.719992775470018,-7.74860382080078E-03
1,4.59,0.73999257478863,-1.49011611938477E-02
1,4.71,0.759992374107242,-1.07288360595703E-02
1,4.83,0.779992173425853,-2.98023223876953E-03
1,4.94,0.799991972744465,-5.36441802978516E-03
1,5.06,0.819991772063077,-1.60932540893555E-02
1,5.18,0.839991571381688,-6.55651092529297E-03
1,5.3,0.8599913707003,-5.96046447753906E-03
1,5.42,0.879991170018911,-1.01327896118164E-02
1,5.53,0.899990969337523,-2.98023223876953E-03
1,5.65,0.919990768656135,-1.19209289550781E-03
1,5.77,0.939990567974746,-8.34465026855469E-03
1,5.89,0.959990367293358,-2.98023223876953E-03
1,6.01,0.979990166611969,-5.96046447753906E-04
1,6.12,0.999989965930581,-5.96046447753906E-04
1,6.24,1.01998976524919,-1.19209289550781E-03
1,6.36,1.0399895645678,-7.74860382080078E-03
1,6.48,1.05998936388642,-7.74860382080078E-03
1,6.6,1.07998916320503,-7.74860382080078E-03
1,6.71,1.09998896252364,-4.76837158203125E-03
1,6.83,1.11998876184225,5.96046447753906E-03
1,6.95,1.13998856116086,0
1,7.07,1.15998836047947,-5.96046447753906E-04
1,7.18,1.17998815979809,-1.19209289550781E-03
1,7.3,1.1999879591167,3.57627868652344E-03
1,7.42,1.21998775843531,0
1,7.54,1.23998755775392,2.98023223876953E-03
1,7.66,1.25998735707253,-4.17232513427734E-03
1,7.77,1.27998715639114,0
1,7.89,1.29998695570976,5.96046447753906E-03
1,8.01,1.31998675502837,2.38418579101563E-03
1,8.13,1.33998655434698,1.19209289550781E-03
1,8.24,1.35998635366559,-7.74860382080078E-03
1,8.36,1.3799861529842,3.57627868652344E-03
1,8.48,1.39998595230281,2.38418579101563E-03
1,8.6,1.41998575162143,2.98023223876953E-03
1,8.72,1.43998555094004,4.76837158203125E-03
1,8.83,1.45998535025865,5.36441802978516E-03
1,8.95,1.47998514957726,5.96046447753906E-04
1,9.07,1.49998494889587,1.19209289550781E-03
1,9.19,1.51998474821448,2.98023223876953E-03
1,9.31,1.53998454753309,7.74860382080078E-03
1,9.42,1.55998434685171,5.96046447753906E-03
1,9.54,1.57998414617032,5.96046447753906E-03
1,9.66,1.59998394548893,7.15255737304688E-03
1,9.78,1.61998374480754,1.19209289550781E-03
1,9.9,1.63998354412615,1.31130218505859E-02
1,10.01,1.65998334344476,1.31130218505859E-02
1,10.13,1.67998314276338,7.74860382080078E-03
1,10.25,1.69998294208199,1.19209289550781E-02
1,10.37,1.7199827414006,8.94069671630859E-03
1,10.49,1.73998254071921,0.012516975402832
1,10.6,1.75998234003782,1.43051147460938E-02
1,10.72,1.77998213935643,1.43051147460938E-02
1,10.84,1.79998193867505,1.37090682983398E-02
1,10.96,1.81998173799366,1.07288360595703E-02
1,11.08,1.83998153731227,0.012516975402832
1,11.19,1.85998133663088,7.15255737304688E-03
1,11.31,1.87998113594949,1.66893005371094E-02
1,11.43,1.8999809352681,9.5367431640625E-03
1,11.55,1.91998073458672,1.78813934326172E-02
1,11.67,1.93998053390533,2.32458114624023E-02
1,11.78,1.95998033322394,1.49011611938477E-02
1,11.9,1.97998013254255,2.08616256713867E-02
1,12.02,1.99997993186116,0.025629997253418
1,12.14,2.01997973117977,2.32458114624023E-02
1,12.26,2.03997953049839,2.68220901489258E-02
1,12.37,2.059979329817,2.26497650146484E-02
1,12.49,2.07997912913561,1.84774398803711E-02
1,12.61,2.09997892845422,1.84774398803711E-02
1,12.72,2.11997872777283,1.49011611938477E-02
1,12.84,2.13997852709144,1.72853469848633E-02
1,12.96,2.15997832641006,2.38418579101563E-02
1,13.08,2.17997812572867,2.20537185668945E-02
1,13.2,2.19997792504728,1.96695327758789E-02
1,13.31,2.21997772436589,2.68220901489258E-02
1,13.43,2.2399775236845,0.019073486328125
1,13.55,2.25997732300311,2.92062759399414E-02
1,13.67,2.27997712232172,0.025629997253418
1,13.78,2.29997692164034,2.32458114624023E-02
1,13.9,2.31997672095895,0.019073486328125
1,14.02,2.33997652027756,3.09944152832031E-02
1,14.14,2.35997631959617,2.98023223876953E-02
1,14.26,2.37997611891478,2.62260437011719E-02
1,14.37,2.39997591823339,0.031590461730957
1,14.49,2.41997571755201,2.86102294921875E-02
1,14.61,2.43997551687062,3.03983688354492E-02
1,14.73,2.45997531618923,2.50339508056641E-02
1,14.85,2.47997511550784,3.51667404174805E-02
1,14.96,2.49997491482645,0.031590461730957
1,15.08,2.51997471414506,3.27825546264648E-02
1,15.2,2.53997451346368,2.26497650146484E-02
1,15.32,2.55997431278229,2.80141830444336E-02
1,15.44,2.5799741121009,3.75509262084961E-02
1,15.55,2.59997391141951,3.51667404174805E-02
1,15.67,2.61997371073812,3.33786010742188E-02
1,15.79,2.63997351005673,2.86102294921875E-02
1,15.91,2.65997330937535,3.33786010742188E-02
1,16.02,2.67997310869396,3.69548797607422E-02
1,16.14,2.69997290801257,0.03814697265625
1,16.26,2.71997270733118,3.69548797607422E-02
1,16.38,2.73997250664979,3.45706939697266E-02
1,16.5,2.7599723059684,3.57627868652344E-02
1,16.61,2.77997210528702,4.29153442382813E-02
1,16.73,2.79997190460563,0.03814697265625
1,16.85,2.81997170392424,4.17232513427734E-02
1,16.97,2.83997150324285,4.41074371337891E-02
1,17.08,2.85997130256146,4.17232513427734E-02
1,17.2,2.87997110188007,0.044703483581543
1,17.32,2.89997090119869,4.11272048950195E-02
1,17.44,2.9199707005173,3.51667404174805E-02
1,17.56,2.93997049983591,3.57627868652344E-02
1,17.67,2.95997029915452,3.87430191040039E-02
1,17.79,2.97997009847313,3.51667404174805E-02
1,17.91,2.99996989779174,5.00679016113281E-02
1,18.03,3.01996969711035,3.87430191040039E-02
1,18.15,3.03996949642897,3.99351119995117E-02
1,18.26,3.05996929574758,0.044703483581543
1,18.38,3.07996909506619,3.99351119995117E-02
1,18.5,3.0999688943848,4.11272048950195E-02
1,18.62,3.11996869370341,0.044703483581543
1,18.74,3.13996849302202,3.39746475219727E-02
1,18.85,3.15996829234064,4.11272048950195E-02
1,18.97,3.17996809165925,4.29153442382813E-02
1,19.09,3.19996789097786,4.35113906860352E-02
1,19.2,3.21996769029647,5.24520874023438E-02
1,19.32,3.23996748961508,0.050663948059082
1,19.44,3.25996728893369,5.18560409545898E-02
1,19.56,3.27996708825231,4.41074371337891E-02
1,19.68,3.29996688757092,5.24520874023438E-02
1,19.79,3.31996668688953,5.12599945068359E-02
1,19.91,3.33996648620814,4.70876693725586E-02
1,20.03,3.35996628552675,5.00679016113281E-02
1,20.15,3.37996608484536,4.70876693725586E-02
1,20.26,3.39996588416398,4.70876693725586E-02
1,20.38,3.41996568348259,4.76837158203125E-02
