ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,-6.55651092529297E-03
1,0.35,1.99997993186116E-02,-2.38418579101563E-03
1,0.47,3.99995986372232E-02,-9.5367431640625E-03
1,0.59,5.99993979558349E-02,-2.98023223876953E-03
1,0.71,7.99991972744465E-02,0
1,0.83,9.99989965930581E-02,2.38418579101563E-03
1,0.94,0.11999879591167,-1.78813934326172E-03
1,1.06,0.139998595230281,1.78813934326172E-03
1,1.18,0.159998394548893,-1.13248825073242E-02
1,1.3,0.179998193867505,5.96046447753906E-04
1,1.42,0.199997993186116,-1.19209289550781E-03
1,1.54,0.219997792504728,5.36441802978516E-03
1,1.66,0.239997591823339,1.78813934326172E-03
1,1.77,0.259997391141951,-2.38418579101563E-03
1,1.9,0.279997190460563,-4.76837158203125E-03
1,2.02,0.299996989779174,-1.78813934326172E-03
1,2.13,0.319996789097786,-7.15255737304688E-03
1,2.25,0.339996588416398,2.38418579101563E-03
1,2.37,0.359996387735009,1.19209289550781E-03
1,2.49,0.379996187053621,0
1,2.61,0.399995986372232,-5.96046447753906E-03
1,2.73,0.419995785690844,0
1,2.85,0.439995585009456,2.38418579101563E-03
1,2.96,0.459995384328067,5.36441802978516E-03
1,3.09,0.479995183646679,5.96046447753906E-04
1,3.2,0.499994982965291,7.74860382080078E-03
1,3.32,0.519994782283902,1.07288360595703E-02
1,3.44,0.539994581602514,9.5367431640625E-03
1,3.56,0.559994380921125,7.15255737304688E-03
1,3.68,0.579994180239737,1.13248825073242E-02
1,3.8,0.599993979558349,1.19209289550781E-02
1,3.92,0.61999377887696,1.07288360595703E-02
1,4.03,0.639993578195572,1.19209289550781E-02
1,4.15,0.659993377514184,3.57627868652344E-03
1,4.27,0.679993176832795,3.57627868652344E-03
1,4.39,0.699992976151407,7.74860382080078E-03
1,4.51,0.719992775470018,-1.78813934326172E-03
1,4.63,0.73999257478863,6.55651092529297E-03
1,4.75,0.759992374107242,1.19209289550781E-02
1,4.87,0.779992173425853,1.43051147460938E-02
1,4.99,0.799991972744465,0.019073486328125
1,5.1,0.819991772063077,1.49011611938477E-02
1,5.22,0.839991571381688,8.34465026855469E-03
1,5.34,0.8599913707003,1.19209289550781E-02
1,5.46,0.879991170018911,5.36441802978516E-03
1,5.58,0.899990969337523,1.07288360595703E-02
1,5.7,0.919990768656135,2.08616256713867E-02
1,5.82,0.939990567974746,1.31130218505859E-02
1,5.94,0.959990367293358,0.012516975402832
1,6.06,0.979990166611969,1.19209289550781E-02
1,6.18,0.999989965930581,1.49011611938477E-02
1,6.29,1.01998976524919,2.26497650146484E-02
1,6.41,1.0399895645678,2.26497650146484E-02
1,6.53,1.05998936388642,8.34465026855469E-03
1,6.65,1.07998916320503,9.5367431640625E-03
1,6.77,1.09998896252364,2.26497650146484E-02
1,6.89,1.11998876184225,2.38418579101563E-02
1,7.01,1.13998856116086,1.84774398803711E-02
1,7.13,1.15998836047947,1.84774398803711E-02
1,7.25,1.17998815979809,2.50339508056641E-02
1,7.37,1.1999879591167,2.08616256713867E-02
1,7.48,1.21998775843531,2.32458114624023E-02
1,7.6,1.23998755775392,2.14576721191406E-02
1,7.72,1.25998735707253,2.08616256713867E-02
1,7.84,1.27998715639114,2.14576721191406E-02
1,7.96,1.29998695570976,1.78813934326172E-02
1,8.08,1.31998675502837,2.08616256713867E-02
1,8.2,1.33998655434698,1.78813934326172E-02
1,8.32,1.35998635366559,1.54972076416016E-02
1,8.44,1.3799861529842,2.44379043579102E-02
1,8.56,1.39998595230281,0.025629997253418
1,8.67,1.41998575162143,2.32458114624023E-02
1,8.79,1.43998555094004,2.44379043579102E-02
1,8.91,1.45998535025865,2.50339508056641E-02
1,9.03,1.47998514957726,2.20537185668945E-02
1,9.15,1.49998494889587,2.20537185668945E-02
1,9.27,1.51998474821448,0.025629997253418
1,9.39,1.53998454753309,3.27825546264648E-02
1,9.51,1.55998434685171,3.33786010742188E-02
1,9.63,1.57998414617032,3.09944152832031E-02
1,9.75,1.59998394548893,2.80141830444336E-02
1,9.86,1.61998374480754,2.74181365966797E-02
1,9.98,1.63998354412615,3.39746475219727E-02
1,10.1,1.65998334344476,3.27825546264648E-02
1,10.22,1.67998314276338,2.80141830444336E-02
1,10.34,1.69998294208199,2.74181365966797E-02
1,10.46,1.7199827414006,3.09944152832031E-02
1,10.58,1.73998254071921,3.03983688354492E-02
1,10.7,1.75998234003782,3.21865081787109E-02
1,10.82,1.77998213935643,3.63588333129883E-02
1,10.94,1.79998193867505,3.51667404174805E-02
1,11.05,1.81998173799366,3.87430191040039E-02
1,11.17,1.83998153731227,3.27825546264648E-02
1,11.29,1.85998133663088,0.03814697265625
1,11.41,1.87998113594949,0.03814697265625
1,11.53,1.8999809352681,4.29153442382813E-02
1,11.65,1.91998073458672,3.09944152832031E-02
1,11.77,1.93998053390533,2.98023223876953E-02
1,11.88,1.95998033322394,3.63588333129883E-02
1,12.01,1.97998013254255,3.39746475219727E-02
1,12.13,1.99997993186116,3.39746475219727E-02
1,12.24,2.01997973117977,3.51667404174805E-02
1,12.36,2.03997953049839,4.17232513427734E-02
1,12.48,2.059979329817,4.41074371337891E-02
