ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,-4.76837158203125E-03
1,0.35,1.99997993186116E-02,-2.98023223876953E-03
1,0.47,3.99995986372232E-02,-5.36441802978516E-03
1,0.59,5.99993979558349E-02,-7.15255737304688E-03
1,0.71,7.99991972744465E-02,-4.76837158203125E-03
1,0.83,9.99989965930581E-02,-5.96046447753906E-04
1,0.95,0.11999879591167,-4.17232513427734E-03
1,1.06,0.139998595230281,0
1,1.18,0.159998394548893,0
1,1.3,0.179998193867505,1.19209289550781E-03
1,1.42,0.199997993186116,2.98023223876953E-03
1,1.54,0.219997792504728,-5.96046447753906E-04
1,1.66,0.239997591823339,-5.96046447753906E-04
1,1.78,0.259997391141951,5.36441802978516E-03
1,1.89,0.279997190460563,7.15255737304688E-03
1,2.01,0.299996989779174,0
1,2.13,0.319996789097786,-2.98023223876953E-03
1,2.25,0.339996588416398,0
1,2.37,0.359996387735009,2.98023223876953E-03
1,2.49,0.379996187053621,-1.19209289550781E-03
1,2.61,0.399995986372232,5.96046447753906E-03
1,2.73,0.419995785690844,-5.96046447753906E-04
1,2.84,0.439995585009456,0.012516975402832
1,2.96,0.459995384328067,4.76837158203125E-03
1,3.08,0.479995183646679,2.98023223876953E-03
1,3.2,0.499994982965291,7.74860382080078E-03
1,3.32,0.519994782283902,1.07288360595703E-02
1,3.44,0.539994581602514,0.012516975402832
1,3.56,0.559994380921125,6.55651092529297E-03
1,3.68,0.579994180239737,4.17232513427734E-03
1,3.8,0.599993979558349,6.55651092529297E-03
1,3.92,0.61999377887696,1.54972076416016E-02
1,4.03,0.639993578195572,1.31130218505859E-02
1,4.15,0.659993377514184,8.94069671630859E-03
1,4.27,0.679993176832795,9.5367431640625E-03
1,4.39,0.699992976151407,5.96046447753906E-03
1,4.51,0.719992775470018,5.96046447753906E-03
1,4.63,0.73999257478863,8.94069671630859E-03
1,4.75,0.759992374107242,0.012516975402832
1,4.87,0.779992173425853,7.74860382080078E-03
1,4.99,0.799991972744465,1.37090682983398E-02
1,5.11,0.819991772063077,1.54972076416016E-02
1,5.22,0.839991571381688,1.54972076416016E-02
1,5.34,0.8599913707003,1.07288360595703E-02
1,5.46,0.879991170018911,1.43051147460938E-02
1,5.58,0.899990969337523,1.37090682983398E-02
1,5.7,0.919990768656135,1.31130218505859E-02
1,5.82,0.939990567974746,7.15255737304688E-03
1,5.94,0.959990367293358,1.37090682983398E-02
1,6.05,0.979990166611969,1.07288360595703E-02
1,6.17,0.999989965930581,1.43051147460938E-02
1,6.29,1.01998976524919,1.96695327758789E-02
1,6.41,1.0399895645678,1.60932540893555E-02
1,6.53,1.05998936388642,2.08616256713867E-02
1,6.65,1.07998916320503,1.84774398803711E-02
1,6.77,1.09998896252364,1.66893005371094E-02
1,6.89,1.11998876184225,1.84774398803711E-02
1,7,1.13998856116086,1.72853469848633E-02
1,7.12,1.15998836047947,1.43051147460938E-02
1,7.24,1.17998815979809,2.20537185668945E-02
1,7.36,1.1999879591167,1.60932540893555E-02
1,7.48,1.21998775843531,2.32458114624023E-02
1,7.6,1.23998755775392,1.78813934326172E-02
1,7.72,1.25998735707253,1.84774398803711E-02
1,7.84,1.27998715639114,1.72853469848633E-02
1,7.96,1.29998695570976,2.26497650146484E-02
1,8.08,1.31998675502837,2.32458114624023E-02
1,8.19,1.33998655434698,2.08616256713867E-02
1,8.31,1.35998635366559,0.025629997253418
1,8.43,1.3799861529842,2.26497650146484E-02
1,8.55,1.39998595230281,2.02655792236328E-02
1,8.67,1.41998575162143,0.019073486328125
1,8.79,1.43998555094004,1.66893005371094E-02
1,8.91,1.45998535025865,2.02655792236328E-02
1,9.03,1.47998514957726,2.26497650146484E-02
1,9.14,1.49998494889587,0.019073486328125
1,9.27,1.51998474821448,2.38418579101563E-03
1,9.38,1.53998454753309,4.17232513427734E-03
1,9.5,1.55998434685171,-5.96046447753906E-03
1,9.62,1.57998414617032,-5.96046447753906E-03
1,9.74,1.59998394548893,-8.34465026855469E-03
1,9.86,1.61998374480754,-6.55651092529297E-03
1,9.98,1.63998354412615,-5.96046447753906E-03
1,10.1,1.65998334344476,-1.01327896118164E-02
1,10.21,1.67998314276338,-5.36441802978516E-03
1,10.33,1.69998294208199,-1.13248825073242E-02
1,10.45,1.7199827414006,-3.57627868652344E-03
1,10.57,1.73998254071921,-7.15255737304688E-03
1,10.69,1.75998234003782,-5.96046447753906E-03
1,10.81,1.77998213935643,-9.5367431640625E-03
1,10.93,1.79998193867505,-4.76837158203125E-03
1,11.05,1.81998173799366,-2.38418579101563E-03
1,11.16,1.83998153731227,-8.94069671630859E-03
1,11.28,1.85998133663088,-7.15255737304688E-03
1,11.4,1.87998113594949,-1.13248825073242E-02
1,11.52,1.8999809352681,-4.76837158203125E-03
1,11.64,1.91998073458672,-6.55651092529297E-03
1,11.76,1.93998053390533,-5.36441802978516E-03
1,11.88,1.95998033322394,-6.55651092529297E-03
1,12,1.97998013254255,-2.38418579101563E-03
1,12.12,1.99997993186116,1.78813934326172E-03
1,12.24,2.01997973117977,-1.78813934326172E-03
1,12.35,2.03997953049839,-5.96046447753906E-03
1,12.47,2.059979329817,-9.5367431640625E-03
1,12.59,2.07997912913561,-0.012516975402832
1,12.71,2.09997892845422,-1.43051147460938E-02
1,12.83,2.11997872777283,-3.57627868652344E-03
1,12.95,2.13997852709144,-8.34465026855469E-03
1,13.07,2.15997832641006,-1.31130218505859E-02
1,13.19,2.17997812572867,-7.74860382080078E-03
1,13.31,2.19997792504728,-1.07288360595703E-02
1,13.43,2.21997772436589,-1.43051147460938E-02
1,13.54,2.2399775236845,-1.01327896118164E-02
1,13.66,2.25997732300311,-8.34465026855469E-03
1,13.78,2.27997712232172,-5.36441802978516E-03
1,13.9,2.29997692164034,-5.36441802978516E-03
1,14.02,2.31997672095895,-2.38418579101563E-03
1,14.14,2.33997652027756,-2.98023223876953E-03
1,14.26,2.35997631959617,0
1,14.38,2.37997611891478,-5.36441802978516E-03
1,14.5,2.39997591823339,-1.49011611938477E-02
1,14.62,2.41997571755201,-1.37090682983398E-02
1,14.73,2.43997551687062,-5.96046447753906E-04
1,14.85,2.45997531618923,-6.55651092529297E-03
1,14.97,2.47997511550784,-8.34465026855469E-03
1,15.09,2.49997491482645,-4.17232513427734E-03
1,15.21,2.51997471414506,1.19209289550781E-03
1,15.33,2.53997451346368,-1.01327896118164E-02
1,15.45,2.55997431278229,-1.78813934326172E-03
1,15.57,2.5799741121009,-9.5367431640625E-03
1,15.68,2.59997391141951,-3.57627868652344E-03
1,15.81,2.61997371073812,2.98023223876953E-03
1,15.92,2.63997351005673,0
1,16.04,2.65997330937535,-1.19209289550781E-03
1,16.16,2.67997310869396,-1.78813934326172E-03
1,16.28,2.69997290801257,5.96046447753906E-03
1,16.4,2.71997270733118,-5.96046447753906E-03
1,16.52,2.73997250664979,-8.94069671630859E-03
1,16.64,2.7599723059684,-7.15255737304688E-03
1,16.75,2.77997210528702,-9.5367431640625E-03
1,16.87,2.79997190460563,4.17232513427734E-03
