n,R,X,Z_sdk,Z_calc,phase_rad,phase_deg
1,1286.2452812288316,-241.80087337301535,1308.7759876492955,1308.7759876492955,-0.1858209833114188,-10.646758088715202
2,1289.1125348823025,-243.58722769950487,1311.9244890956973,1311.9244890956973,-0.18675538712712805,-10.700295483716262
3,1289.9307585819863,-244.3975362088169,1312.8790948296948,1312.8790948296948,-0.18724613893482656,-10.728413491085801
4,1292.175751877599,-239.6852335524316,1314.217327888931,1314.217327888931,-0.1834051752237375,-10.508342481177493
5,1288.7805633110154,-244.58734340053775,1311.7843987942495,1311.7843987942495,-0.18755152661454447,-10.745910916248931
6,1290.9686511757275,-236.98914172011837,1312.5410133065236,1312.5410133065236,-0.18155325145164877,-10.40223506505686
7,1289.0862257057129,-242.97012805709525,1311.7841973557545,1311.7841973557545,-0.18629686310489826,-10.674023992437132
8,1287.2861469687302,-240.73068036165589,1309.6018038491643,1309.6018038491643,-0.18487102031534497,-10.592329218346569
9,1287.3857919386433,-243.14257193223733,1310.1452162151,1310.1452162151,-0.18666660555416162,-10.695208674286752
10,1289.5769141999754,-242.08562451764348,1312.1029179281738,1312.1029179281738,-0.1855651485408028,-10.632099836106207
